Date,Year,Month number,Crime Type,Offence category,Offence type,Reporting Region,Location,Location Type,Population (ABS 2021 reference),Alcohol involvement,DV involvement,Data era,Source extract,is_break_month,Break note,Number of offences
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Anindilyakwa,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Harassment & Threats,Abduction - harassment and other offences against the person,Harassment and private nuisance,NT Balance,Anindilyakwa,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Anindilyakwa,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,31
2014-10,2014,10,Residential B&E,House break-ins,House break-ins actual,NT Balance,Anindilyakwa,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Barkly,Remote,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Barkly,Remote,,Yes,No,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Barkly,Remote,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,5
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Barkly,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Barkly,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Barkly,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Daly,Remote,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,NT Balance,Daly,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,NT Balance,Daly,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Harassment & Threats,Abduction - harassment and other offences against the person,Harassment and private nuisance,NT Balance,Daly,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,NT Balance,Daly,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Daly,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,Sexual Offences,Sexual assault and related offences,Sexual assault,NT Balance,Daly,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Darwin,Darwin,Urban,,No,No,Historical / PROMIS,April 2024 historical extract,False,,59
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Darwin,Darwin,Urban,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,16
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Darwin,Darwin,Urban,,Yes,No,Historical / PROMIS,April 2024 historical extract,False,,48
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Darwin,Darwin,Urban,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,46
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Other acts intended to cause injury,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins actual,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,18
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,34
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,255
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,54
2014-10,2014,10,Harassment & Threats,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Harassment & Threats,Abduction - harassment and other offences against the person,Harassment and private nuisance,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Harassment & Threats,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,8
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,173
2014-10,2014,10,Residential B&E,House break-ins,House break-ins actual,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,36
2014-10,2014,10,Residential B&E,House break-ins,House break-ins attempted,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Robbery & Extortion,Robbery - extortion and related offences,Robbery,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,5
2014-10,2014,10,Sexual Offences,Sexual assault and related offences,Non-assaultive sexual offences,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Sexual Offences,Sexual assault and related offences,Sexual assault,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,11
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,East Arnhem,Remote,,No,No,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,East Arnhem,Remote,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,13
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,East Arnhem,Remote,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,8
2014-10,2014,10,Residential B&E,House break-ins,House break-ins actual,NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Elsey,Remote,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Elsey,Remote,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,9
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Elsey,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,NT Balance,Elsey,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Elsey,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,6
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Elsey,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Elsey,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Residential B&E,House break-ins,House break-ins actual,NT Balance,Elsey,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Sexual Offences,Sexual assault and related offences,Sexual assault,NT Balance,Elsey,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Gulf,Remote,,No,No,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Gulf,Remote,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,10
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Gulf,Remote,,Yes,No,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Gulf,Remote,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,7
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,6
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,14
2014-10,2014,10,Residential B&E,House break-ins,House break-ins actual,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Sexual Offences,Sexual assault and related offences,Sexual assault,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Howard Springs,Remote,,No,No,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Howard Springs,Remote,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,NT Balance,Howard Springs,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Howard Springs,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,11
2014-10,2014,10,Residential B&E,House break-ins,House break-ins actual,NT Balance,Howard Springs,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Humpty Doo,Remote,,No,No,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Humpty Doo,Remote,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Humpty Doo,Remote,,Yes,No,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Humpty Doo,Remote,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,6
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,9
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,Residential B&E,House break-ins,House break-ins actual,NT Balance,Humpty Doo,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,Sexual Offences,Sexual assault and related offences,Sexual assault,NT Balance,Humpty Doo,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Katherine,Katherine,Regional,,No,No,Historical / PROMIS,April 2024 historical extract,False,,8
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Katherine,Katherine,Regional,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,7
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Katherine,Katherine,Regional,,Yes,No,Historical / PROMIS,April 2024 historical extract,False,,10
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Katherine,Katherine,Regional,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,44
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins actual,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,10
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),Katherine,Katherine,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,40
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,6
2014-10,2014,10,Harassment & Threats,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,32
2014-10,2014,10,Residential B&E,House break-ins,House break-ins actual,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,Sexual Offences,Sexual assault and related offences,Non-assaultive sexual offences,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Sexual Offences,Sexual assault and related offences,Sexual assault,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Nhulunbuy,Nhulunbuy,Remote,,Yes,No,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Nhulunbuy,Nhulunbuy,Remote,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,7
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins actual,Nhulunbuy,Nhulunbuy,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),Nhulunbuy,Nhulunbuy,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,5
2014-10,2014,10,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,Nhulunbuy,Nhulunbuy,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,Nhulunbuy,Nhulunbuy,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Palmerston,Palmerston,Urban,,No,No,Historical / PROMIS,April 2024 historical extract,False,,23
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Palmerston,Palmerston,Urban,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,11
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Palmerston,Palmerston,Urban,,Yes,No,Historical / PROMIS,April 2024 historical extract,False,,10
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Palmerston,Palmerston,Urban,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,10
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins actual,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,8
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,19
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,71
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,22
2014-10,2014,10,Harassment & Threats,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Homicide,Homicide and related Offences,Manslaughter,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,63
2014-10,2014,10,Residential B&E,House break-ins,House break-ins actual,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,14
2014-10,2014,10,Residential B&E,House break-ins,House break-ins attempted,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Robbery & Extortion,Robbery - extortion and related offences,Robbery,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Sexual Offences,Sexual assault and related offences,Non-assaultive sexual offences,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Sexual Offences,Sexual assault and related offences,Sexual assault,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Petermann - Simpson,Remote,,No,No,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Petermann - Simpson,Remote,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Petermann - Simpson,Remote,,Yes,No,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Petermann - Simpson,Remote,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Petermann - Simpson,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,7
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,NT Balance,Petermann - Simpson,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Petermann - Simpson,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Petermann - Simpson,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Petermann - Simpson,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,6
2014-10,2014,10,Residential B&E,House break-ins,House break-ins attempted,NT Balance,Petermann - Simpson,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Sandover - Plenty,Remote,,No,No,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Sandover - Plenty,Remote,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Sandover - Plenty,Remote,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,NT Balance,Sandover - Plenty,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Sandover - Plenty,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,NT Balance,Sandover - Plenty,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Residential B&E,House break-ins,House break-ins actual,NT Balance,Sandover - Plenty,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Tanami,Remote,,No,No,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Tanami,Remote,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,10
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Tanami,Remote,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Tanami,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,NT Balance,Tanami,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Tanami,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,4
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Tanami,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Tanami,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Tennant Creek,Tennant Creek,Regional,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,Tennant Creek,Tennant Creek,Regional,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,8
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins actual,Tennant Creek,Tennant Creek,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,3
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),Tennant Creek,Tennant Creek,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,13
2014-10,2014,10,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,Tennant Creek,Tennant Creek,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,Tennant Creek,Tennant Creek,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,5
2014-10,2014,10,Residential B&E,House break-ins,House break-ins actual,Tennant Creek,Tennant Creek,Regional,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Thamarrurr,Remote,,No,No,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Thamarrurr,Remote,,No,Yes,Historical / PROMIS,April 2024 historical extract,False,,11
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Thamarrurr,Remote,,Yes,Yes,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Thamarrurr,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,NT Balance,Thamarrurr,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Thamarrurr,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Thamarrurr,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,1
2014-10,2014,10,Harassment & Threats,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,NT Balance,Thamarrurr,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Thamarrurr,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,8
2014-10,2014,10,Residential B&E,House break-ins,House break-ins actual,NT Balance,Thamarrurr,Remote,,-,-,Historical / PROMIS,April 2024 historical extract,False,,2
2014-10,2014,10,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Tiwi Islands,Remote,,No,No,Historical / PROMIS,April 2024 historical extract,False,,4
